index,palavra
1169,ribeiro
1171,reformas
1172,troca
1174,pensamento
1175,líderes
1176,ouro
1177,vaga
1178,estes
1179,parecia
1180,regras
1181,esteve
1182,realizado
1183,fundação
1184,vale
1185,títulos
1186,dificuldades
1188,perder
1189,delas
1190,estas
1191,ferreira
1192,constituinte
1193,presos
1194,expressão
1195,clube
1196,intervenção
1197,condição
1198,abaixo
1199,rodrigues
1200,recife
1201,jogar
1203,andar
1204,baixa
1205,formas
1206,ensino
1207,combate
1208,jovens
1209,ajuda
1210,velha
1211,deixa
1212,estamos
1214,japão
1215,francês
1216,aprovação
1217,palmeiras
1218,ficaram
1219,céu
1220,cena
1221,mostrar
1222,jornalista
1223,casamento
1224,maluf
1225,propostas
1226,naquele
1227,estilo
1229,ambiente
1230,crítica
1231,stf
1232,taxas
1233,perdeu
1234,comprar
1236,dando
1237,interesses
1238,show
1239,ricardo
1240,instituição
1241,valores
1242,of
1243,negócio
1244,fizeram
1245,quis
1246,previdência
1247,visto
1248,perguntou
1249,jovem
1250,operações
1251,alegre
1252,branco
1253,augusto
1254,salvador
1255,tratamento
1257,emprego
1258,seriam
1259,obteve
1260,realmente
1261,direita
1262,quércia
1263,elementos
1264,manuel
1265,armas
1266,querem
1267,sobretudo
1268,tentativa
1269,cultural
1270,delegado
1271,aumentar
1273,oficiais
1274,continuar
1275,televisão
1276,profissional
1277,pdt
1278,escolha
1279,ganhar
1280,posso
1281,contar
1282,alunos
1283,contato
1284,semanas
1285,acaba
1286,pernambuco
1287,lojas
1288,linguagem
1289,metade
1290,acusado
1291,nacionais
1292,ministros
1293,passagem
1294,som
1296,morreu
1297,responsabilidade
1298,andrade
1299,distribuição
1300,análise
1301,nove
1302,debate
1303,aquilo
1304,artistas
1306,fiscal
1307,empresário
1308,pesquisas
1309,falou
1310,memória
1312,linhas
1314,caiu
1315,visita
1316,seguir
1318,usp
1319,ouvir
1320,leva
1321,braços
1322,lançamento
1323,covas
1324,permite
1327,belo
1328,londres
1329,x
1331,significa
1333,pés
1334,orçamento
1335,pedir
1336,meios
1337,locais
1338,fundos
1339,imposto
1340,considerado
1341,brasileiras
1342,literatura
1343,avaliação
1344,especialmente
1345,federação
1346,representantes
1347,ocorreu
1348,m
1349,leitor
1350,bens
1351,artista
1352,grau
1354,americano
1356,tecnologia
1357,conseguir
1358,silêncio
1359,apresentou
1360,primeiras
1361,município
1362,língua
1363,certeza
1365,tornou
